id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
60422,12408,Bridge 2000,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
58122,14349,Brigade Commander,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
101082,48677,Bubble Bath Babes,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
171808,43201,Bubblegum Crash,NULL,1991-12-06 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
92961,218904,Bucky O'Hare,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
25730,14352,Build It!: Das Bauhaus,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
22100,13451,Builderland: The Story of Melba,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
181954,46067,Bulls vs Lakers and the NBA Playoffs,NULL,1991-01-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
116237,72301,Bundesliga Manager Professional,NULL,1991-12-31 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
124371,48960,Burai Fighter Deluxe,NULL,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,64.0000,1
175114,48958,BurgerTime Deluxe,NULL,1991-04-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
140932,39557,Burning Fight,NULL,1991-01-09 00:00:00.000,NULL,NULL,NULL,NULL,73.0000,4
96625,14356,Bush Buck,NULL,1991-12-31 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
146470,37130,Cadaver: The Payoff,Dianos is dead. The cadaver contract has been fullfiled. But collecting your reward will prove more difficult that you had ever imagined.,1991-02-01 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
